group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54164,12028,11996,32,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54165,12028,11998,30,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54166,12028,11992,36,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54167,12028,11989,39,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54168,12028,11986,42,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54169,12028,11990,38,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54170,12028,11990,38,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54163,11785,11714,71,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54164,11785,11720,65,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54165,11785,11723,62,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54166,11785,11725,60,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54167,11785,11723,62,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54168,11785,11712,73,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54169,11785,11709,76,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S3,54170,11785,11727,58,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53195,12243,11660,583,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53196,12243,11652,591,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53197,12243,11661,582,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53198,12243,11529,714,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53199,12243,11488,755,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53200,12243,11557,686,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53201,12243,11540,703,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S1,53202,12243,11544,699,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53195,12028,11998,30,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53196,12028,11985,43,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53197,12028,11992,36,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53198,12028,11991,37,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53199,12028,11985,43,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53200,12028,11974,54,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53201,12028,11984,44,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S2,53202,12028,11981,47,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53195,11785,11704,81,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53196,11785,11694,91,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53197,11785,11701,84,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53198,11785,11697,88,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53199,11785,11670,115,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53200,11785,11677,108,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53201,11785,11685,100,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,S3,53202,11785,11680,105,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55171,12243,11947,296,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55172,12243,11962,281,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55173,12243,11954,289,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55174,12243,11943,300,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55175,12243,11883,360,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55176,12243,11954,289,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55177,12243,11910,333,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S1,55178,12243,11902,341,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55171,12028,11975,53,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55172,12028,11996,32,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55173,12028,11997,31,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55174,12028,11993,35,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55175,12028,11989,39,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55176,12028,11985,43,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55177,12028,11986,42,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S2,55178,12028,11991,37,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55171,11785,11710,75,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55172,11785,11718,67,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55173,11785,11719,66,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55174,11785,11730,55,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55175,11785,11719,66,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55176,11785,11714,71,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55177,11785,11711,74,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,S3,55178,11785,11712,73,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54171,12243,11926,317,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54172,12243,11934,309,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54173,12243,11915,328,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54174,12243,11901,342,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54175,12243,11841,402,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54176,12243,11878,365,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54177,12243,11839,404,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S1,54178,12243,11832,411,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54171,12028,11984,44,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54172,12028,12000,28,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54173,12028,11998,30,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54174,12028,11993,35,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54175,12028,11994,34,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54176,12028,11986,42,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54177,12028,11988,40,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S2,54178,12028,11990,38,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54171,11785,11709,76,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54172,11785,11719,66,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54173,11785,11723,62,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54174,11785,11726,59,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54175,11785,11716,69,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54176,11785,11710,75,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54177,11785,11712,73,5.0
