group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54248,11785,11625,160,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54249,11785,11592,193,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54250,11785,11620,165,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53275,12243,10378,1865,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53276,12243,10397,1846,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53277,12243,10387,1856,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53278,12243,10401,1842,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53279,12243,10402,1841,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53280,12243,10406,1837,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53281,12243,10398,1845,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S1,53282,12243,10400,1843,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53275,12028,11869,159,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53276,12028,11863,165,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53277,12028,11864,164,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53278,12028,11881,147,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53279,12028,11839,189,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53280,12028,11865,163,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53281,12028,11833,195,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S2,53282,12028,11842,186,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53275,11785,11326,459,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53276,11785,11319,466,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53277,11785,11307,478,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53278,11785,11302,483,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53279,11785,11222,563,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53280,11785,11294,491,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53281,11785,11237,548,5.0
TXPA LUT244 @ 81GHz tests 53275-53282,S3,53282,11785,11279,506,5.0
TXPA LUT255 @ 76GHz test 55251,S1,55251,12243,10832,1411,5.0
TXPA LUT255 @ 76GHz test 55251,S2,55251,12028,11943,85,5.0
TXPA LUT255 @ 76GHz test 55251,S3,55251,11785,11627,158,5.0
TXPA LUT255 @ 76GHz test 55252,S1,55252,12243,10872,1371,5.0
TXPA LUT255 @ 76GHz test 55252,S2,55252,12028,11956,72,5.0
TXPA LUT255 @ 76GHz test 55252,S3,55252,11785,11647,138,5.0
TXPA LUT255 @ 76GHz test 55253,S1,55253,12243,10804,1439,5.0
TXPA LUT255 @ 76GHz test 55253,S2,55253,12028,11952,76,5.0
TXPA LUT255 @ 76GHz test 55253,S3,55253,11785,11638,147,5.0
TXPA LUT255 @ 76GHz test 55254,S1,55254,12243,10845,1398,5.0
TXPA LUT255 @ 76GHz test 55254,S2,55254,12028,11965,63,5.0
TXPA LUT255 @ 76GHz test 55254,S3,55254,11785,11649,136,5.0
TXPA LUT255 @ 76GHz test 55255,S1,55255,12243,10805,1438,5.0
TXPA LUT255 @ 76GHz test 55255,S2,55255,12028,11962,66,5.0
TXPA LUT255 @ 76GHz test 55255,S3,55255,11785,11634,151,5.0
TXPA LUT255 @ 76GHz test 55256,S1,55256,12243,10894,1349,5.0
TXPA LUT255 @ 76GHz test 55256,S2,55256,12028,11963,65,5.0
TXPA LUT255 @ 76GHz test 55256,S3,55256,11785,11643,142,5.0
TXPA LUT255 @ 76GHz test 55257,S1,55257,12243,10819,1424,5.0
TXPA LUT255 @ 76GHz test 55257,S2,55257,12028,11945,83,5.0
TXPA LUT255 @ 76GHz test 55257,S3,55257,11785,11619,166,5.0
TXPA LUT255 @ 76GHz test 55258,S1,55258,12243,10786,1457,5.0
TXPA LUT255 @ 76GHz test 55258,S2,55258,12028,11954,74,5.0
TXPA LUT255 @ 76GHz test 55258,S3,55258,11785,11637,148,5.0
TXPA LUT255 @ 77GHz test 54251,S1,54251,12243,10656,1587,5.0
TXPA LUT255 @ 77GHz test 54251,S2,54251,12028,11939,89,5.0
TXPA LUT255 @ 77GHz test 54251,S3,54251,11785,11615,170,5.0
TXPA LUT255 @ 77GHz test 54252,S1,54252,12243,10688,1555,5.0
TXPA LUT255 @ 77GHz test 54252,S2,54252,12028,11948,80,5.0
TXPA LUT255 @ 77GHz test 54252,S3,54252,11785,11620,165,5.0
TXPA LUT255 @ 77GHz test 54253,S1,54253,12243,10622,1621,5.0
TXPA LUT255 @ 77GHz test 54253,S2,54253,12028,11942,86,5.0
TXPA LUT255 @ 77GHz test 54253,S3,54253,11785,11605,180,5.0
TXPA LUT255 @ 77GHz test 54254,S1,54254,12243,10657,1586,5.0
TXPA LUT255 @ 77GHz test 54254,S2,54254,12028,11959,69,5.0
TXPA LUT255 @ 77GHz test 54254,S3,54254,11785,11616,169,5.0
TXPA LUT255 @ 77GHz test 54255,S1,54255,12243,10626,1617,5.0
TXPA LUT255 @ 77GHz test 54255,S2,54255,12028,11950,78,5.0
TXPA LUT255 @ 77GHz test 54255,S3,54255,11785,11601,184,5.0
TXPA LUT255 @ 77GHz test 54256,S1,54256,12243,10727,1516,5.0
TXPA LUT255 @ 77GHz test 54256,S2,54256,12028,11953,75,5.0
TXPA LUT255 @ 77GHz test 54256,S3,54256,11785,11614,171,5.0
TXPA LUT255 @ 77GHz test 54257,S1,54257,12243,10632,1611,5.0
TXPA LUT255 @ 77GHz test 54257,S2,54257,12028,11936,92,5.0
TXPA LUT255 @ 77GHz test 54257,S3,54257,11785,11576,209,5.0
TXPA LUT255 @ 77GHz test 54258,S1,54258,12243,10625,1618,5.0
TXPA LUT255 @ 77GHz test 54258,S2,54258,12028,11945,83,5.0
TXPA LUT255 @ 77GHz test 54258,S3,54258,11785,11600,185,5.0
TXPA LUT255 @ 81GHz test 53283,S1,53283,12243,10377,1866,5.0
TXPA LUT255 @ 81GHz test 53283,S2,53283,12028,11858,170,5.0
TXPA LUT255 @ 81GHz test 53283,S3,53283,11785,11282,503,5.0
TXPA LUT255 @ 81GHz test 53284,S1,53284,12243,10392,1851,5.0
TXPA LUT255 @ 81GHz test 53284,S2,53284,12028,11853,175,5.0
TXPA LUT255 @ 81GHz test 53284,S3,53284,11785,11277,508,5.0
TXPA LUT255 @ 81GHz test 53285,S1,53285,12243,10385,1858,5.0
TXPA LUT255 @ 81GHz test 53285,S2,53285,12028,11841,187,5.0
TXPA LUT255 @ 81GHz test 53285,S3,53285,11785,11241,544,5.0
TXPA LUT255 @ 81GHz test 53286,S1,53286,12243,10400,1843,5.0
TXPA LUT255 @ 81GHz test 53286,S2,53286,12028,11855,173,5.0
TXPA LUT255 @ 81GHz test 53286,S3,53286,11785,11266,519,5.0
TXPA LUT255 @ 81GHz test 53287,S1,53287,12243,10400,1843,5.0
TXPA LUT255 @ 81GHz test 53287,S2,53287,12028,11828,200,5.0
TXPA LUT255 @ 81GHz test 53287,S3,53287,11785,11156,629,5.0
TXPA LUT255 @ 81GHz test 53288,S1,53288,12243,10400,1843,5.0
TXPA LUT255 @ 81GHz test 53288,S2,53288,12028,11845,183,5.0
TXPA LUT255 @ 81GHz test 53288,S3,53288,11785,11243,542,5.0
TXPA LUT255 @ 81GHz test 53289,S1,53289,12243,10395,1848,5.0
TXPA LUT255 @ 81GHz test 53289,S2,53289,12028,11811,217,5.0
TXPA LUT255 @ 81GHz test 53289,S3,53289,11785,11178,607,5.0
TXPA LUT255 @ 81GHz test 53290,S1,53290,12243,10393,1850,5.0
TXPA LUT255 @ 81GHz test 53290,S2,53290,12028,11829,199,5.0
TXPA LUT255 @ 81GHz test 53290,S3,53290,11785,11218,567,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55147,8716,8635,81,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55148,8716,8620,96,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55149,8716,8646,70,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55150,8716,8614,102,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55151,8716,8618,98,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55152,8716,8640,76,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55153,8716,8620,96,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B1,55154,8716,8597,119,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55147,7139,7072,67,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55148,7139,7054,85,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55149,7139,7091,48,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55150,7139,7063,76,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55151,7139,7067,72,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55152,7139,7054,85,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55153,7139,7067,72,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,B2,55154,7139,7059,80,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54147,8716,8648,68,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54148,8716,8621,95,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54149,8716,8647,69,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54150,8716,8645,71,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54151,8716,8642,74,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54152,8716,8639,77,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54153,8716,8639,77,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B1,54154,8716,8714,2,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54147,7139,7074,65,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54148,7139,7064,75,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54149,7139,7078,61,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54150,7139,7085,54,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54151,7139,7079,60,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54152,7139,7070,69,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54153,7139,7062,77,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,B2,54154,7139,7084,55,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53179,8716,8626,90,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53180,8716,8634,82,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53181,8716,8638,78,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53182,8716,8643,73,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53183,8716,8647,69,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53184,8716,8637,79,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53185,8716,8650,66,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B1,53186,8716,8642,74,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53179,7139,7060,79,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53180,7139,7054,85,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53181,7139,7076,63,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53182,7139,7066,73,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53183,7139,7081,58,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53184,7139,7078,61,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53185,7139,7070,69,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,B2,53186,7139,7049,90,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55155,8716,8561,155,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55156,8716,8708,8,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55157,8716,8712,4,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55158,8716,8696,20,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55159,8716,8709,7,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55160,8716,8706,10,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55161,8716,8706,10,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B1,55162,8716,8605,111,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B2,55155,7139,7133,6,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B2,55158,7139,7106,33,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B2,55160,7139,7071,68,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,B2,55162,7139,7102,37,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54155,8716,8597,119,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54156,8716,8684,32,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54157,8716,8681,35,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54158,8716,8697,19,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54159,8716,8692,24,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54160,8716,8684,32,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54161,8716,8671,45,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B1,54162,8716,8424,292,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B2,54156,7139,7127,12,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B2,54158,7139,7136,3,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B2,54159,7139,7138,1,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B2,54160,7139,7135,4,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,B2,54161,7139,7137,2,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53187,8716,8608,108,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53188,8716,8615,101,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53189,8716,8650,66,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53190,8716,8586,130,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53191,8716,8626,90,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53192,8716,8556,160,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53193,8716,8664,52,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B1,53194,8716,8594,122,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53187,7139,7118,21,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53188,7139,7136,3,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53189,7139,7132,7,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53190,7139,7137,2,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53191,7139,7132,7,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53192,7139,7125,14,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53193,7139,7138,1,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,B2,53194,7139,7125,14,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55163,8716,8549,167,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55164,8716,8707,9,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55165,8716,8708,8,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55166,8716,8696,20,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55167,8716,8702,14,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55168,8716,8705,11,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55169,8716,8700,16,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B1,55170,8716,8583,133,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B2,55163,7139,7135,4,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B2,55166,7139,7111,28,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B2,55168,7139,7051,88,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,B2,55170,7139,7098,41,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54163,8716,8551,165,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54164,8716,8688,28,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54165,8716,8654,62,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54166,8716,8691,25,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54167,8716,8676,40,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54168,8716,8672,44,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54169,8716,8647,69,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B1,54170,8716,8381,335,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B2,54164,7139,7126,13,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B2,54166,7139,7137,2,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B2,54167,7139,7138,1,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B2,54168,7139,7135,4,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,B2,54169,7139,7136,3,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53195,8716,8577,139,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53196,8716,8591,125,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53197,8716,8612,104,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53198,8716,8570,146,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53199,8716,8590,126,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53200,8716,8549,167,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53201,8716,8634,82,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B1,53202,8716,8570,146,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B2,53195,7139,7117,22,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B2,53196,7139,7138,1,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B2,53197,7139,7132,7,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B2,53199,7139,7133,6,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B2,53200,7139,7125,14,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B2,53201,7139,7138,1,5.0
TXPA LUT36 @ 81GHz tests 53195-53202,B2,53202,7139,7128,11,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55171,8716,8532,184,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55172,8716,8697,19,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55173,8716,8708,8,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55174,8716,8692,24,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55175,8716,8706,10,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55176,8716,8698,18,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55177,8716,8696,20,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B1,55178,8716,8541,175,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B2,55171,7139,7134,5,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B2,55174,7139,7110,29,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B2,55176,7139,7051,88,5.0
TXPA LUT48 @ 76GHz tests 55171-55178,B2,55178,7139,7101,38,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54171,8716,8531,185,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54172,8716,8675,41,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54173,8716,8620,96,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54174,8716,8672,44,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54175,8716,8647,69,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54176,8716,8652,64,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54177,8716,8611,105,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B1,54178,8716,8409,307,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B2,54172,7139,7129,10,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B2,54174,7139,7136,3,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B2,54175,7139,7138,1,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B2,54176,7139,7135,4,5.0
TXPA LUT48 @ 77GHz tests 54171-54178,B2,54177,7139,7137,2,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53203,8716,8530,186,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53204,8716,8567,149,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53205,8716,8580,136,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53206,8716,8551,165,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53207,8716,8558,158,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53208,8716,8533,183,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53209,8716,8606,110,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B1,53210,8716,8537,179,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B2,53203,7139,7116,23,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B2,53204,7139,7138,1,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B2,53205,7139,7132,7,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B2,53207,7139,7133,6,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B2,53208,7139,7127,12,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,B2,53210,7139,7128,11,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55179,8716,8504,212,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55180,8716,8670,46,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55181,8716,8702,14,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55182,8716,8658,58,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55183,8716,8698,18,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55184,8716,8679,37,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55185,8716,8676,40,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B1,55186,8716,8504,212,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B2,55179,7139,7131,8,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B2,55182,7139,7108,31,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B2,55184,7139,7066,73,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,B2,55186,7139,7103,36,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54179,8716,8528,188,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54180,8716,8619,97,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54181,8716,8543,173,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54182,8716,8620,96,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54183,8716,8578,138,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54184,8716,8581,135,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54185,8716,8549,167,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B1,54186,8716,8480,236,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B2,54180,7139,7128,11,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B2,54182,7139,7137,2,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B2,54183,7139,7138,1,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B2,54184,7139,7135,4,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,B2,54185,7139,7136,3,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53211,8716,8482,234,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53212,8716,8527,189,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53213,8716,8514,202,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53214,8716,8522,194,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53215,8716,8516,200,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53216,8716,8513,203,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53217,8716,8555,161,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B1,53218,8716,8520,196,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53211,7139,7114,25,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53212,7139,7137,2,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53213,7139,7130,9,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53214,7139,7138,1,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53215,7139,7134,5,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53216,7139,7125,14,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53217,7139,7138,1,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,B2,53218,7139,7130,9,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55187,8716,8495,221,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55188,8716,8625,91,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55189,8716,8688,28,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55190,8716,8617,99,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55191,8716,8691,25,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55192,8716,8638,78,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55193,8716,8646,70,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B1,55194,8716,8497,219,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B2,55187,7139,7133,6,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B2,55190,7139,7114,25,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B2,55192,7139,7075,64,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,B2,55194,7139,7107,32,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54187,8716,8516,200,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54188,8716,8564,152,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54189,8716,8497,219,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54190,8716,8557,159,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54191,8716,8530,186,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54192,8716,8538,178,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54193,8716,8528,188,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B1,54194,8716,8485,231,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B2,54188,7139,7127,12,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,B2,54189,7139,7137,2,5.0
